,ALPHANUMERIC_CODE,STATION_NAME_ENGLISH,STATION_NAME_CHINESE,LINE_ENGLISH,LINE_CHINESE,LINE_COLOR,OPENING_DATE,TRANSPORT_TYPE,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
0,NS1,Jurong East,裕廊东,North-South Line ,南北线,Red,1990-03-10,MRT,JURONG EAST MRT STATION (EW24 / NS1),10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.0570516568,35038.9688695427,1.33315281585758,103.742286332403
1,NS2,Bukit Batok,武吉巴督,North-South Line ,南北线,Red,1990-03-10,MRT,BUKIT BATOK MRT STATION (NS2),10,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958,18679.3223191258,36794.9260214306,1.34903331201636,103.749566478309
2,NS3,Bukit Gombak,武吉甘柏,North-South Line ,南北线,Red,1990-03-10,MRT,BUKIT GOMBAK MRT STATION (NS3),802,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733
3,NS4,Choa Chu Kang,蔡厝港,North-South Line ,南北线,Red,1990-03-10,MRT,CHOA CHU KANG MRT STATION (NS4),10,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756
4,NS5,Yew Tee,油池,North-South Line ,南北线,Red,1996-02-10,MRT,YEW TEE MRT STATION (NS5),61,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715,18438.9831173802,42158.0181021616,1.39753506936297,103.747405150236
5,NS7,Kranji,克兰芝,North-South Line ,南北线,Red,1996-02-10,MRT,KRANJI MRT STATION (NS7),960,WOODLANDS ROAD,KRANJI MRT STATION (NS7),960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497
6,NS8,Marsiling,马西岭,North-South Line ,南北线,Red,1996-02-10,MRT,MARSILING MRT STATION (NS8),71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044,21407.0413211482,46026.5125302058,1.43252114855026,103.774074641403
7,NS9,Woodlands,兀兰,North-South Line ,南北线,Red,1996-02-10,MRT,WOODLANDS MRT STATION (NS9),30,WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343,22741.5981903812,46501.7861009166,1.43681962961519,103.786066799253
8,NS10,Admiralty,海军部,North-South Line ,南北线,Red,1996-02-10,MRT,ADMIRALTY MRT STATION (NS10),70,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,24402.3866267931,46918.506801948,1.44058856161847,103.800990519771
9,NS11,Sembawang,三巴旺,North-South Line ,南北线,Red,1996-02-10,MRT,SEMBAWANG MRT STATION (NS11),11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775,26522.9882623879,47854.1998395547,1.44905082158502,103.820046140211
